trip_id,customer_id,trip_status,trip_rating,driver_behavior,vehicle_comfort
t901,c_108,1,2,2,2
t902,c_110,2,3,2,3
t903,c_106,3,2,1,1
t904,c_106,3,1,3,2
t905,c_108,2,1,2,3
t906,c_106,1,4,2,1
t907,c_104,3,3,1,3
t908,c_107,1,2,3,1
t909,c_109,3,4,3,1
t910,c_106,1,4,3,2
t911,c_119,2,1,2,2
t912,c_124,1,1,1,1
t913,c_125,3,2,1,1
t914,c_120,3,4,3,2
t915,c_116,1,1,1,3
t916,c_117,2,2,3,1
t917,c_127,1,1,3,2
t918,c_122,2,4,2,2
t919,c_136,3,2,2,2
t920,c_130,2,4,2,1
t921,c_133,3,4,2,3
t922,c_132,3,2,1,3
t923,c_124,2,3,2,3
t924,c_123,3,2,3,1
t925,c_140,1,3,3,2
t926,c_131,3,1,2,2
t927,c_142,1,1,3,3
t928,c_150,1,4,2,3
t929,c_153,1,3,2,3
t930,c_154,2,3,1,2
t931,c_147,2,3,3,1
t932,c_157,1,3,2,1
t933,c_141,1,2,1,3
t934,c_158,2,1,2,2
t935,c_149,1,3,3,2
t936,c_146,2,2,3,2
t937,c_125,3,1,3,1
t938,c_120,1,1,3,2
t939,c_116,1,1,2,2
t940,c_117,3,3,3,1
t941,c_127,1,2,2,1
t942,c_122,1,1,1,3
t943,c_136,2,1,1,2
t944,c_130,2,2,1,1
t945,c_133,3,4,2,2
t946,c_203,2,2,2,3
t947,c_199,2,2,2,3
t948,c_197,1,2,1,1
t949,c_190,2,3,3,3
t950,c_185,3,1,3,2
t951,c_174,3,3,3,2
t952,c_108,1,3,1,1
t953,c_106,3,2,2,1
t954,c_104,3,4,2,2
t955,c_107,2,2,3,2
t956,c_109,3,4,1,3
t957,c_106,1,2,2,3
t958,c_119,2,2,3,3
t959,c_124,1,4,3,2
t960,c_125,3,3,2,1
t961,c_120,3,2,1,3
t962,c_116,3,1,3,2
t963,c_177,3,1,3,2
t964,c_130,1,1,2,3
t965,c_161,3,4,1,3
t966,c_117,3,3,1,3
t967,c_169,3,1,1,2
t968,c_179,1,4,3,1
t969,c_173,2,4,1,2
t970,c_171,1,4,3,3
t971,c_166,3,2,2,3
t972,c_164,1,1,1,1
t973,c_197,3,3,3,3
t974,c_187,2,1,2,1
t975,c_184,2,2,3,1
t976,c_198,3,1,3,1
t977,c_191,3,1,2,2
t978,c_138,3,2,2,2
t979,c_183,3,2,3,3
t980,c_190,2,3,3,1
t981,c_195,3,3,3,1
t982,c_185,2,2,1,1
t983,c_106,2,4,1,3
t984,c_108,1,2,3,3
t985,c_106,3,2,3,3
t986,c_104,1,1,3,3
t987,c_107,2,4,1,1
t988,c_109,3,4,1,3
t989,c_106,1,1,1,1
t990,c_119,3,4,3,1
t991,c_124,3,1,1,2
t992,c_125,2,4,3,3
t993,c_120,2,2,1,1
t994,c_116,3,1,1,3
t995,c_117,1,4,3,1
t996,c_127,3,1,1,3
t997,c_133,1,4,2,3
t998,c_132,1,3,2,2
t999,c_124,1,2,3,3
t1000,c_123,1,4,1,2
t1001,c_140,2,4,1,1
t1002,c_131,3,1,2,2
t1003,c_142,3,3,2,3
t1004,c_150,2,3,1,2
t1005,c_153,1,1,3,2
t1006,c_154,2,1,3,1
t1007,c_147,1,3,2,3
t1008,c_157,3,1,2,2
t1009,c_141,1,1,1,3
t1010,c_158,3,4,1,2
t1011,c_179,2,2,2,1
t1012,c_173,3,1,3,1
t1013,c_171,1,2,2,1
t1014,c_166,1,2,3,2
t1015,c_164,2,4,2,3
t1016,c_197,1,3,3,1
t1017,c_187,2,2,1,3
t1018,c_184,1,4,1,2
t1019,c_198,2,2,2,3
t1020,c_191,1,4,2,1
t1021,c_138,1,2,1,2
t1022,c_183,2,3,2,2
t1023,c_190,2,2,2,3
t1024,c_126,3,4,2,3
t1025,c_127,3,1,1,2
t1026,c_128,1,2,2,2
t1027,c_129,1,1,1,2
t1028,c_103,3,4,3,3
t1029,c_131,2,4,1,3
t1030,c_132,2,1,3,1
t1031,c_185,3,4,2,1
t1032,c_134,2,4,2,2
t1033,c_136,1,4,3,2
t1034,c_130,2,1,1,3
t1035,c_133,1,3,3,2
t1036,c_203,2,1,2,3
t1037,c_199,1,3,3,1
t1038,c_197,2,4,3,2
t1039,c_190,1,4,1,1
t1040,c_185,2,3,1,1
t1041,c_174,2,3,3,3
t1042,c_158,2,1,2,3
t1043,c_159,1,2,1,3
t1044,c_160,3,1,3,2
t1045,c_161,1,4,3,1
t1046,c_162,2,1,2,1
t1047,c_163,1,4,2,2
t1048,c_164,1,3,2,1
t1049,c_165,2,3,2,1
t1050,c_166,2,4,3,3
t1051,c_167,3,4,3,1
t1052,c_168,3,3,1,3
t1053,c_169,1,4,3,1
t1054,c_198,1,3,1,2
t1055,c_199,2,1,1,3
t1056,c_200,3,4,3,2
t1057,c_201,3,2,3,1
t1058,c_202,1,2,1,1
t1059,c_203,3,1,1,1
t1060,c_204,1,3,3,1
t1061,c_103,3,2,2,2
t1062,c_104,1,1,2,2
t1063,c_105,3,2,1,3
t1064,c_106,1,1,1,1
t1065,c_107,2,3,2,3
t1066,c_108,2,3,1,3
t1067,c_109,3,2,2,3
t1068,c_110,1,1,3,3
t1069,c_111,2,1,1,2
t1070,c_112,1,2,2,1
t1071,c_113,1,4,3,2
t1072,c_114,2,3,1,1
t1073,c_115,1,3,1,1
t1074,c_116,3,4,2,2
t1075,c_117,1,1,3,1
t1076,c_123,1,4,3,3
t1077,c_140,3,4,3,2
t1078,c_131,1,3,3,3
t1079,c_142,1,3,3,3
t1080,c_150,1,1,2,2
t1081,c_153,3,3,2,1
t1082,c_154,2,2,1,2
t1083,c_147,2,1,2,3
t1084,c_157,3,3,2,2
t1085,c_141,1,3,1,1
t1086,c_158,2,2,3,1
t1087,c_179,1,2,3,3
t1088,c_173,1,3,2,3
t1089,c_171,1,3,2,3
t1090,c_175,3,4,3,1
t1091,c_176,2,2,3,2
t1092,c_177,2,4,1,3
t1093,c_178,3,3,1,2
t1094,c_179,2,4,2,3
t1095,c_180,3,3,2,1
t1096,c_181,3,3,1,3
t1097,c_182,1,3,2,2
t1098,c_183,2,2,2,3
t1099,c_184,1,3,1,3
t1100,c_185,1,2,1,2
t1101,c_186,2,4,3,2
t1102,c_187,1,1,1,2
t1103,c_188,1,4,1,1
t1104,c_189,1,3,3,1
t1105,c_190,2,1,3,3
t1106,c_191,3,2,3,3
t1107,c_192,2,2,2,2
t1108,c_193,3,1,3,3
